year,full_ID,ID,month,season,date,river,site,location,layer,TP,DTP,TN,DTN,conductivity,temp,pressure,chlorophyll,DO_sat,PAR,pH,depth,salinity,conductivity_spc,density_anomaly,DO_conc,absolute_depth,Chla_single,velocity_ms
2021,2021-05-09-5-PX-5,5-PX-5,May,spring,9/05/2021,PX,PX5,PX5-3,bottom,0.11416,0.075809938,2.90349125,2.3884225,0.316738009,17.78204346,35.4996376,0.448287964,27.69737434,0.017578125,7.690862656,25.16027641,0.177602649,367.387085,-1.10933763,2.624304194,25.16027641,2.0925,0.027
2021,2021-05-09-5-PX-6,5-PX-6,May,spring,9/05/2021,PX,PX6,PX6-1,surface,0.08528,0.067838375,2.113505,2.0421045,0.298317164,21.87005615,10.68560219,0.792663574,75.47582245,43.10791016,7.821712017,0.548592091,0.153243795,317.2850647,-2.079369787,6.589688371,15.19521332,2.0925,0.1355
2021,2021-05-09-5-PX-6,5-PX-6,May,spring,9/05/2021,PX,PX6,PX6-2,middle,0.0944,0.071027,2.99360375,2.267829625,0.266539872,19.42419434,16.04505157,0.729171753,53.98884201,0.022949219,7.624773026,5.864336967,0.144096076,298.3091736,-1.539925865,4.947629996,15.19521332,2.0925,0.1355
2021,2021-05-09-5-PX-6,5-PX-6,May,spring,9/05/2021,PX,PX6,PX6-3,bottom,0.16128,0.075809938,2.86744625,1.927695875,0.248366922,18.39694214,25.45264435,0.61730957,45.07647705,0.017578125,7.552152634,15.19521332,0.137239248,284.2111816,-1.301382476,4.218229587,15.19521332,11.8575,0.1355
2021,2021-05-20-5-MD-2,5-MD-2,May,spring,20/05/2021,MD,MD2,MD2-1,surface,0.05336,0.047112313,1.7710775,1.432955875,0.298784643,21.8946228,10.61819649,14.90971375,94.33868408,194.8618164,8.184906006,0.481736094,0.153406322,317.6237488,-2.085105958,8.232644912,13.78319263,8.37,0.105
2021,2021-05-20-5-MD-2,5-MD-2,May,spring,20/05/2021,MD,MD2,MD2-2,middle,0.05944,0.040735063,2.20061375,2.0915785,0.298010975,20.82147217,16.17700958,0.635864258,70.29589081,0.020507813,7.88337326,5.995218754,0.156440601,323.8580627,-1.820543199,6.264543537,13.78319263,11.16,0.105
2021,2021-05-20-5-MD-2,5-MD-2,May,spring,20/05/2021,MD,MD2,MD2-3,bottom,0.10352,0.0582725,1.75005125,1.930788,0.284869283,20.49636841,24.02901459,0.525421143,69.08262634,0.020507813,7.947444439,13.78319263,0.150546864,311.6797791,-1.719702226,6.196344452,13.78319263,2.79,0.105
2021,2021-05-20-5-MD-3,5-MD-3,May,spring,20/05/2021,MD,MD3,MD3-1,surface,0.2388,0.066244063,2.12552,2.379146125,0.276503146,21.59109497,10.88857269,2.967559814,87.397789,26.84667969,7.939465046,0.749907434,0.142886192,295.7601013,-2.023711494,7.672558816,15.82552528,7.6725,0.0755
2021,2021-05-20-5-MD-3,5-MD-3,May,spring,20/05/2021,MD,MD3,MD3-2,middle,0.21752,0.059866813,1.86419375,1.9678935,0.245689288,20.42138672,16.08852577,0.697753906,86.42316437,0.013183594,7.847938061,5.907456398,0.130137458,269.2342224,-1.75574008,7.764170338,15.82552528,7.6725,0.0755
2021,2021-05-20-5-MD-3,5-MD-3,May,spring,20/05/2021,MD,MD3,MD3-3,bottom,0.20536,0.085375813,2.80136375,2.5863185,0.193031475,18.81314087,26.08813858,0.827041626,94.5978241,0.017578125,7.674456596,15.82552528,0.105995208,218.8984985,-1.402363724,8.779095936,15.82552528,1.395,0.0755
2021,2021-05-20-5-MD-4,5-MD-4,May,spring,20/05/2021,MD,MD4,MD4-1,surface,0.19016,0.086970125,2.33878625,2.79039875,0.20245114,20.05804443,10.72820759,0.960617065,98.03912354,6.465820313,7.948290825,0.590850055,0.108332567,223.5525665,-1.720951617,8.872815484,10.6935854,1.395,0.1535
2021,2021-05-20-5-MD-4,5-MD-4,May,spring,20/05/2021,MD,MD4,MD4-2,middle,0.18408,0.07740425,1.9993625,1.501910263,0.182066485,18.82507324,16.04545021,0.852859497,101.8217392,0.0078125,7.906944752,5.864732265,0.100080982,206.4107971,-1.455399283,9.447544552,10.6935854,0.6975,0.1535
2021,2021-05-20-5-MD-4,5-MD-4,May,spring,20/05/2021,MD,MD4,MD4-3,bottom,0.19016,0.091753063,1.96031375,2.648161,0.183399633,18.80291748,20.91400528,0.789810181,101.3748016,0.004882813,7.872554302,10.6935854,0.100838296,208.0220032,-1.428129287,9.410277214,10.6935854,2.79,0.1535
2021,2021-05-10-5-PX-4,5-PX-4,May,spring,10/05/2021,PX,PX4,PX4-1,surface,0.08376,0.0327635,1.73467,1.6050325,0.296432704,23.11987305,10.80825901,11.35845947,93.11407471,51.37548828,8.17868042,0.670248687,0.148469836,307.4742432,-2.372625425,7.936862456,24.26185608,28.5975,NA
